id	parent_id	content	created_at
ad2fb049-d212-4b34-aeb7-d7670401b442	fa752fb1-119d-40d3-a581-ef9d2f88ed10	Когда он начал говорить, что в KFS сидят уроды - сказала, а можно ли об этом не говорить, он согласился, я осталась нейтральной.	26.07.2026 14:02:50
760014f2-d5d9-4e94-8920-e11574f7162a		На улице низкая температура и дожди.	26.07.2026 14:23:47
9516abb5-1343-441e-b26c-9076fb2635a7	760014f2-d5d9-4e94-8920-e11574f7162a	Хочется убежать в тропики	26.07.2026 14:23:57
2f70d6cb-8730-4c9e-aeb1-594c5babf576	760014f2-d5d9-4e94-8920-e11574f7162a	Слишком рано! Ведь ещё июль!	26.07.2026 14:24:15
d07ecdb9-1dd2-4851-8661-8bd005e3ec09	760014f2-d5d9-4e94-8920-e11574f7162a	Очень не хочется опять холодину.	26.07.2026 14:24:35
0e23a50b-ede1-4d58-82ea-3e7dad2fb81f		Села за vr проект	26.07.2026 14:25:18
78a86bbf-b05a-4381-8d1c-110c96144197	0e23a50b-ede1-4d58-82ea-3e7dad2fb81f	Надо бы и за испанский тоже	26.07.2026 14:25:36
f2715f6b-019f-4056-8f5e-be64059495f2	0e23a50b-ede1-4d58-82ea-3e7dad2fb81f	Как бы ИИ-кредиты не закончились, кто ж писать проект будет?..	26.07.2026 14:26:15
7318bde0-a86a-403b-8420-0a5ad222ad02		Читаю и смотрю про пайку	26.07.2026 15:31:49
37336830-3287-479b-ae96-17d4d0abcb49	0e23a50b-ede1-4d58-82ea-3e7dad2fb81f	Кредиты кончились, переключаюсь на другое	26.07.2026 15:32:12
a1c9bd5d-2ec1-4335-8917-c58d3261b9c2		Достала паяльник с деревянной ручкой и все причиндалы	26.07.2026 15:43:49
fe4e047c-637c-4a0c-b623-0368eb3f3fcb	a1c9bd5d-2ec1-4335-8917-c58d3261b9c2	Радостно	26.07.2026 15:43:57
5ad0500b-9f95-4220-ae64-84d31f461931	fe4e047c-637c-4a0c-b623-0368eb3f3fcb	Прям восторг от всей этой примитивности и старины	26.07.2026 15:44:26
99b70fb2-1170-4dd0-a013-634296b6156f		Спаяла два провода. Одни раз просто, другой - красиво	26.07.2026 17:32:39
891f6b87-571d-427a-92ea-c244f1aa4458	99b70fb2-1170-4dd0-a013-634296b6156f	Прикольно.	26.07.2026 17:32:51
0f58f214-4cc0-48c5-93dc-f562d80f0a16		Вышла за заказом озон. На улице дождь.	26.07.2026 17:44:13
ee5ebb19-856c-4ec9-bc0b-7cf342b34c90	0f58f214-4cc0-48c5-93dc-f562d80f0a16	Тягостная тоска, скучаю по М.	26.07.2026 17:44:37
a1dad402-b70f-4556-af26-d1140e203001	0f58f214-4cc0-48c5-93dc-f562d80f0a16	Кажется что никакой логики не найдётся в этом приложении и всё зря	26.07.2026 17:45:30
200eb1d1-1843-40c7-bdeb-99c4c6a362e8	0f58f214-4cc0-48c5-93dc-f562d80f0a16	Чувство тотальной утраты, чего-то невозвратно потрянного по ошибке	26.07.2026 17:46:22
3d20c762-a8e0-461e-9f69-e512125b92e0	200eb1d1-1843-40c7-bdeb-99c4c6a362e8	Чувство тянущего кома под сердцем	26.07.2026 17:47:31
3d456540-963f-4789-873f-938f35238931	ee5ebb19-856c-4ec9-bc0b-7cf342b34c90	Прям дышать трудно	26.07.2026 17:54:59
0e1e547d-d38f-4c40-9802-0184f105c22d	ee5ebb19-856c-4ec9-bc0b-7cf342b34c90	Мысль о том, что хорошо бы, например, научиться знать всё про пайку и зарабатывать деньги в путешествиях таким образом. но не просто соединять провода, а много и глубоко об этом знать, чтобы смочь починить сломанное.	26.07.2026 17:56:12
2719f4ad-e641-4958-9e80-08e5e3ef2625	0e1e547d-d38f-4c40-9802-0184f105c22d	Страшно - не смогу и долго учиться.	26.07.2026 17:56:25
a1af3932-0866-4beb-8286-f92354738516	0e1e547d-d38f-4c40-9802-0184f105c22d	Не хочется - Я не готова зарабатывать что-то, мне прям плакать от этой мысли хочется.	26.07.2026 17:57:04
77925940-8ea0-4379-916a-3e6ae31b1920	a1af3932-0866-4beb-8286-f92354738516	Это какие-то мои пороки или то, о чём говорил Будд про работу?..	26.07.2026 17:57:34
a163c3c9-a6df-4bdc-8019-c606f5c289a8	77925940-8ea0-4379-916a-3e6ae31b1920	В принципе, я уже и сейчас живу подаянием верующих. Только занимаюсь всяким, а не внимательным созерцанием.	26.07.2026 17:58:10
477445b6-6218-4b82-92f1-9784a8ec4a8f	ee5ebb19-856c-4ec9-bc0b-7cf342b34c90	Как я хочу к М. Плачу.	26.07.2026 17:58:23
75600aea-0095-4743-9918-3dc87a4e55d1		На кассе в магазине женщины обсуждали что в РФ осенью будет тотальный писец	26.07.2026 21:16:36
e06b9116-8f87-4e50-925a-c80b8285db75	75600aea-0095-4743-9918-3dc87a4e55d1	Подумала, что именно в кризисные времена и будет где мне развернуться	26.07.2026 21:17:13
3325f293-5a18-48b9-8777-83a622e1c6fa	e06b9116-8f87-4e50-925a-c80b8285db75	А в современном мире суперпрофессионалов я неконкурентноспособна	26.07.2026 21:17:51
093fc432-8b34-44c1-80ce-8165bfb940b1	75600aea-0095-4743-9918-3dc87a4e55d1	Страшно	26.07.2026 21:18:04
0e96f249-8b34-45f6-93af-1ec336ba5294	093fc432-8b34-44c1-80ce-8165bfb940b1	Бежать. К М. в Индонезию	26.07.2026 21:18:28
45a1c7df-3844-4c03-afc5-a2eb87d476fd	75600aea-0095-4743-9918-3dc87a4e55d1	Сделать котам прививку от бешенства чтоб в любой момент вывезти за границу	26.07.2026 21:18:53
0084dd8d-4314-416e-9d51-899a83b49558	75600aea-0095-4743-9918-3dc87a4e55d1	Починить машину, чтобы можно было уехать далеко и её надольше хватило	26.07.2026 21:19:23
e0494ffc-9c0f-4b90-b85e-72855630751a	75600aea-0095-4743-9918-3dc87a4e55d1	Муж загранпаспорт не захочет делать. Что мне делать? Бросать его тут? А я как буду?	26.07.2026 21:19:54
2ef2aaed-e416-4360-9fe6-275f3b60bdd0	75600aea-0095-4743-9918-3dc87a4e55d1	Что делать? Что запасать? Ничего.	26.07.2026 21:20:51
962552ba-836f-4a48-bc4a-d8d0cafa6722		Обратилась к таро. Прогноз нормальный.	26.07.2026 21:23:51
077587d1-c2b9-4ee2-812b-dccf73f11fea	962552ba-836f-4a48-bc4a-d8d0cafa6722	Спокойнее.	26.07.2026 21:24:07
9212ed03-c6e8-4d35-8ed1-f77d0c34783f	962552ba-836f-4a48-bc4a-d8d0cafa6722	Спросила заодно, встретимся ли ещё с М. Не понятно.	26.07.2026 21:24:49
4cc24872-c0a6-403f-962f-df53b5f0b53e	9212ed03-c6e8-4d35-8ed1-f77d0c34783f	Я каждый день к нему мысленно обращаюсь, чтобы он позвал меня, забрал меня.	26.07.2026 21:25:26
f59c7260-e495-4ab8-a067-46f78bdb604b	4cc24872-c0a6-403f-962f-df53b5f0b53e	Читаю ему метту. И себе. И многим и всем.	26.07.2026 21:25:52
fec33f38-94f1-427a-a5cf-589a6a287934		Установила будильник, хочу встать завтра до 8ч.	26.07.2026 23:50:38
dd8c9dcd-9d51-42ce-93a6-1848f0e34084	fec33f38-94f1-427a-a5cf-589a6a287934	Я сегодня не чувствовала разбитости, которая наступает, ксли спать до 10-11-12.	26.07.2026 23:51:30
5c909d2e-de84-4f1e-9b37-985b8389d471	fec33f38-94f1-427a-a5cf-589a6a287934	Читаю сутты. Скучаю по М.	26.07.2026 23:52:22
ddb880dc-fbc6-4d96-a5ca-30fead475c95	fec33f38-94f1-427a-a5cf-589a6a287934	Сплю на полу второй день, то есть ночь.	26.07.2026 23:52:42
186ea39c-1100-46e3-bdba-0e7394d8bd46	5c909d2e-de84-4f1e-9b37-985b8389d471	Милый милый М.	26.07.2026 23:53:01
4fb59fbe-a256-4252-a0d4-b27c5574eef9		Первым делом глажу кошку!	27.07.2026 7:39:17
ea96b310-1a87-48de-b3a3-3af94c76e020	4fb59fbe-a256-4252-a0d4-b27c5574eef9	Это хорошо	27.07.2026 7:39:42
4b1c3419-dc74-49b0-b4a5-1436366725ee	ea96b310-1a87-48de-b3a3-3af94c76e020	Но всё равно тяжесть есть. Не такая яркая как вчера.	27.07.2026 7:40:22
abc6905a-3511-4dcd-ab7c-95a6ee5915d5		Вымылась и вымыла всё в ванной	27.07.2026 8:41:10
5da3ec39-c496-4387-9bf7-4b1eb6e6264f	abc6905a-3511-4dcd-ab7c-95a6ee5915d5	Не хотелось быть в ощущении некомфорта	27.07.2026 8:41:38
a4af507f-eaa3-4fba-8ddd-735a4323343e	abc6905a-3511-4dcd-ab7c-95a6ee5915d5	Много фоновой энергии и мотивации	27.07.2026 8:42:28
a82da9ee-0066-4611-b308-f33646cc9bb4	a4af507f-eaa3-4fba-8ddd-735a4323343e	Ни к чему конкретному. Никаких особых дел не предвидится, всё страротекущее	27.07.2026 8:43:07
21128aed-2bdf-4cf2-9e6e-368df099ff73	a4af507f-eaa3-4fba-8ddd-735a4323343e	И при этом несильная грусть по М. Она, кажется, никогда не проходит	27.07.2026 8:47:02
7a06e3db-d563-4d28-94b6-62427aa77602	21128aed-2bdf-4cf2-9e6e-368df099ff73	Интересно, поможет ли моя vr-игра ёе истребить?	27.07.2026 8:47:44
7f834ec1-b6e7-46c0-8ee5-ed52ef56c71e		Вчера вечером посидела немного в медитации. Не дождалась сигнала таймера на 12 минут, посидела около 10.	27.07.2026 8:49:03
70a0941e-567c-4936-93bd-16c3a3ee7e64	abc6905a-3511-4dcd-ab7c-95a6ee5915d5	Видела, как кожа на моём лице потихоньку сморщивается. Я бы хотела, чтобы это было похоже на пергамент, на маленький сморщенный фрукт - старость должна быть маленькой и сморщенной.	27.07.2026 8:51:49
71369299-a3a1-4c40-8ef2-6622df8a068e	70a0941e-567c-4936-93bd-16c3a3ee7e64	Как же похудеть? Вес сейчас 72+ и низкоуглеводная диета, на которой я не голодна, но ем с избытком.	27.07.2026 8:53:10
